density,conduct,capacity,init_temp,top_temp,bot_temp,left_temp,right_temp,module,length,n_points,final_time
1724.869,74.226,258.35,713.674,1129.71,571.687,253.417,610.072,1,5,50,500
3569.742,47.505,622.132,315.548,1293.943,414.158,311.781,321.884,1,5,50,500
3164.627,77.439,532.463,598.687,1332.029,199.459,398.244,639.059,1,5,50,500
3008.0,24.012,405.776,323.69,1268.909,484.364,127.681,529.719,1,5,50,500
2679.217,27.816,673.49,718.224,1247.648,528.416,395.58,567.313,1,5,50,500
1671.447,30.135,503.157,353.979,1126.616,338.372,328.772,482.121,1,5,50,500
2896.355,55.643,779.798,452.353,478.257,468.515,205.815,798.995,1,5,50,500
1201.407,67.398,630.967,334.247,1348.486,471.728,381.752,999.909,1,5,50,500
2550.757,67.901,498.575,271.492,1398.612,283.792,214.835,704.502,1,5,50,500
1807.311,29.871,878.508,509.766,879.054,564.017,299.177,663.936,1,5,50,500
2435.819,64.823,508.056,417.487,807.986,536.204,296.877,335.775,1,5,50,500
1478.296,79.398,710.123,758.33,869.041,262.943,293.676,929.706,1,5,50,500
1410.211,31.239,439.041,620.702,1137.535,309.315,193.979,728.019,1,5,50,500
2756.154,57.185,803.56,760.948,1162.55,260.525,111.016,702.297,1,5,50,500
3013.225,38.304,794.569,535.163,1069.39,166.298,273.187,642.746,1,5,50,500
2241.31,32.747,243.549,355.263,1492.147,159.06,310.638,379.644,1,5,50,500
3345.269,68.907,571.085,269.814,867.261,217.116,217.945,510.008,1,5,50,500
2032.686,81.497,273.74,597.954,934.778,550.034,255.853,361.785,1,5,50,500
1384.527,65.241,614.779,432.498,411.332,589.216,338.155,708.687,1,5,50,500
3737.202,37.471,350.346,441.302,923.328,153.604,349.814,550.593,1,5,50,500
2687.638,83.575,578.769,264.387,937.701,204.692,319.915,334.136,1,5,50,500
1722.876,37.389,855.445,507.973,942.49,459.1,372.579,735.054,1,5,50,500
1855.115,53.58,900.199,744.406,676.735,190.133,292.067,854.713,1,5,50,500
1435.753,60.583,247.576,501.363,948.825,208.282,395.403,714.081,1,5,50,500
2862.122,79.266,690.811,214.057,969.028,311.967,119.441,397.068,1,5,50,500
3210.217,49.505,314.697,510.552,975.809,570.762,175.785,471.924,1,5,50,500
1208.118,78.517,479.946,265.675,1383.493,519.1,375.793,583.885,1,5,50,500
3093.686,24.535,836.502,605.607,589.832,217.086,125.99,351.669,1,5,50,500
3321.029,86.648,537.945,352.81,418.271,282.472,245.487,904.253,1,5,50,500
1920.882,44.656,916.457,467.715,949.807,256.042,290.266,464.502,1,5,50,500
2972.609,84.584,475.612,336.515,1050.381,450.893,244.839,905.937,1,5,50,500
2353.132,72.018,563.006,468.282,474.197,450.751,147.638,716.99,1,5,50,500
2679.398,43.596,444.077,306.94,530.392,332.773,345.944,828.64,1,5,50,500
2015.094,61.9,636.83,561.934,1287.447,363.8,121.312,448.033,1,5,50,500
2664.361,61.467,479.881,553.331,550.58,423.958,128.15,466.238,1,5,50,500
2971.601,39.448,419.531,403.503,1092.076,434.221,101.013,986.528,1,5,50,500
1832.11,28.275,514.448,591.895,643.523,291.388,302.003,861.767,1,5,50,500
1801.518,90.542,445.898,453.077,781.031,591.986,345.715,320.046,1,5,50,500
1548.277,47.695,296.28,637.815,1336.501,401.031,356.828,307.397,1,5,50,500
2120.167,49.329,931.426,696.358,747.921,240.531,255.003,708.73,1,5,50,500
1680.401,26.343,307.733,507.909,991.079,155.84,227.127,657.215,1,5,50,500
2538.045,55.58,500.519,250.252,694.907,403.879,194.045,305.625,1,5,50,500
3119.891,35.205,842.519,438.767,1421.728,242.613,335.551,561.841,1,5,50,500
1911.597,34.036,397.321,222.205,777.449,329.315,211.154,810.52,1,5,50,500
2418.634,43.019,755.396,435.112,793.712,599.067,163.428,617.272,1,5,50,500
2092.477,30.121,514.82,606.587,1416.61,428.136,230.839,887.679,1,5,50,500
1531.98,82.52,396.046,299.835,574.679,334.189,193.995,340.624,1,5,50,500
3557.315,60.34,585.49,339.185,1578.004,591.385,318.239,788.768,1,5,50,500
2473.022,57.167,416.864,272.001,1544.933,511.764,285.194,901.76,1,5,50,500
3494.264,73.914,712.244,219.347,1114.644,529.136,102.027,342.614,1,5,50,500
1423.42,73.294,715.159,506.976,478.812,556.855,128.891,394.763,1,5,50,500
3332.487,65.122,382.11,640.143,1092.355,201.306,326.468,310.722,1,5,50,500
2224.468,30.31,697.061,399.706,1380.755,253.312,176.4,364.845,1,5,50,500
2879.088,49.351,902.23,603.005,1437.09,483.403,366.328,962.78,1,5,50,500
1807.261,78.829,439.071,708.236,1289.394,385.989,235.106,862.189,1,5,50,500
1200.603,63.43,821.002,644.688,1348.278,514.095,246.079,702.693,1,5,50,500
2667.204,33.333,618.181,211.962,1184.865,198.251,346.403,546.69,1,5,50,500
3092.771,69.694,240.823,755.478,659.801,536.061,192.164,734.723,1,5,50,500
1958.812,86.824,687.438,790.672,708.451,256.333,261.436,766.847,1,5,50,500
1752.173,66.682,789.463,537.376,913.474,404.908,338.225,632.798,1,5,50,500
3168.885,88.672,769.566,330.188,420.997,157.828,137.983,274.037,1,5,50,500
3036.126,81.471,721.127,792.071,519.766,160.919,198.558,746.006,1,5,50,500
2316.991,57.41,530.025,711.667,469.277,447.333,383.856,680.985,1,5,50,500
2573.08,79.274,454.823,299.361,1528.339,505.894,292.77,870.394,1,5,50,500
3276.774,36.272,625.256,463.31,1483.663,555.243,262.416,777.679,1,5,50,500
2215.92,36.051,511.305,734.541,1288.849,507.829,119.699,572.082,1,5,50,500
2818.64,77.121,524.621,671.357,1186.62,363.664,193.411,893.216,1,5,50,500
2030.455,42.62,939.334,454.323,734.641,192.541,160.724,342.981,1,5,50,500
2267.774,29.193,700.189,308.917,763.479,508.409,136.006,663.605,1,5,50,500
3461.367,74.631,761.145,483.964,656.855,170.87,132.655,614.21,1,5,50,500
3191.458,25.259,605.062,414.331,545.325,265.213,364.996,870.243,1,5,50,500
1816.415,81.841,840.845,366.445,1033.377,578.509,289.859,695.133,1,5,50,500
2064.869,83.699,578.153,319.182,678.531,461.195,177.913,607.6,1,5,50,500
2833.847,47.479,389.208,391.702,1390.943,252.909,201.754,653.507,1,5,50,500
2181.104,76.266,519.043,333.975,934.896,298.969,190.045,630.479,1,5,50,500
2503.837,25.077,648.607,391.769,519.894,153.905,163.316,577.65,1,5,50,500
3389.883,79.328,604.157,328.421,975.961,537.349,216.23,884.153,1,5,50,500
2337.213,34.52,866.729,400.717,774.592,246.93,271.156,331.746,1,5,50,500
